treatment,participant.id_in_session,participant.code,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,player.language,player.municipality_home,player.driving_license,player.access_to_car,player.car_type,player.buy_car_type,player.access_to_bike,player.access_to_motorbyke,player.access_to_scooter,player.employ_status,player.municipality_destination,player.trip_purpose,player.trip_other,player.trip_moment,player.trip_mode,player.mode_other,player.trip_traffic,player.trip_time,player.trip_cost,player.trip_tolls,player.trip_alternative_mode,player.trip_alternative_rate,player.trip_alternative_justification,player.inequality_perception,player.inequality_wish,player.income_distribution,session.code
Baseline,111,3cz9co3h,169,169,A_Planet3_ES,End,55:55.2,1,ES,98,1,0,2,,0,2,2,0,169,0,,0,0,,0,2,2,1,4,1,,3,5,3,uln4i2w2
Pollution,112,5j8u76qo,169,169,A_Planet3_ES,End,32:04.8,1,ES,94,1,0,0,,1,2,2,2,81,1,,0,3,,1,1,0,,6,1,,3,4,3,uln4i2w2
Public Services,113,lp4ad4ql,169,169,A_Planet3_ES,End,34:52.9,1,ES,73,1,1,1,4,2,2,2,0,82,0,,0,3,,0,3,0,,1,0,,1,4,3,uln4i2w2
Road Pricing,114,syr4wgae,169,169,A_Planet3_ES,End,03:58.3,1,ES,110,0,1,0,0,2,2,2,2,85,0,,0,3,,1,3,2,,10,,El viaje hasta el destino tanto en coche privado como en transporte público me lleva el mismo tiempo ,4,3,3,uln4i2w2
Pollution,117,xbf6cmvi,169,169,A_Planet3_ES,End,10:10.1,1,ES,78,1,1,0,4,0,2,0,1,73,1,,0,4,,1,2,0,,0,0,,5,2,3,uln4i2w2
Public Services,118,sntst306,169,169,A_Planet3_ES,End,18:17.1,1,ES,88,0,2,,4,1,2,0,1,92,0,,0,3,,1,0,0,,7,0,,2,5,3,uln4i2w2
Road Pricing,119,gem1bswc,169,169,A_Planet3_ES,End,04:55.5,1,ES,89,1,1,2,4,1,1,1,2,73,1,,1,4,,1,3,0,,0,1,,4,5,2,uln4i2w2
Social Norm,120,xhwxoldo,169,169,A_Planet3_ES,End,51:53.9,1,ES,57,0,2,,4,2,2,2,2,98,1,,0,2,,2,1,1,,0,0,,5,2,1,uln4i2w2
Baseline,121,mh0zrq4j,169,169,A_Planet3_ES,End,24:43.7,1,ES,166,1,1,1,4,2,2,2,0,85,0,,0,0,,1,1,1,1,4,0,,3,5,2,uln4i2w2
Pollution,122,thyenl6n,169,169,A_Planet3_ES,End,03:41.3,1,ES,91,1,1,0,4,1,1,2,5,94,0,,1,3,,0,2,0,,4,1,,3,5,3,uln4i2w2
Public Services,123,7kaff9s6,169,169,A_Planet3_ES,End,35:34.2,1,ES,80,0,1,1,4,0,2,2,2,73,1,,1,2,,1,0,0,,1,0,,2,5,3,uln4i2w2
Road Pricing,124,sluauxoo,169,169,A_Planet3_ES,End,04:11.4,1,ES,97,1,1,1,4,1,2,2,1,57,1,,2,4,,0,3,2,,1,0,,3,6,3,uln4i2w2
